idx,iso3,spbleu,comet
1,afr_amh,12.56,77.5
2,afr_ara,27.1,79.89
3,afr_asm,11.0,74.71
4,afr_azj,13.89,78.41
5,afr_bel,18.63,82.87
6,afr_ben,21.94,78.46
7,afr_bos,25.08,84.02
8,afr_bul,30.15,84.0
9,afr_cat,29.03,79.13
10,afr_ces,25.67,84.26
11,afr_cmn,25.88,81.52
12,afr_cym,25.6,77.05
13,afr_dan,30.03,82.72
14,afr_deu,29.86,78.47
15,afr_ell,27.35,82.98
16,afr_eng,39.38,82.28
17,afr_est,21.61,83.84
18,afr_fas,22.58,79.2
19,afr_fin,22.32,84.94
20,afr_fra,35.28,78.44
21,afr_glg,25.24,78.73
22,afr_guj,22.09,81.36
23,afr_heb,29.3,81.07
24,afr_hin,24.82,70.54
25,afr_hrv,24.01,83.81
26,afr_hun,20.77,80.91
27,afr_hye,22.85,81.83
28,afr_ind,29.01,83.65
29,afr_isl,19.61,78.46
30,afr_ita,24.23,80.58
31,afr_jav,16.45,81.24
32,afr_jpn,22.33,85.25
33,afr_kan,19.51,77.69
34,afr_kat,20.79,78.34
35,afr_kaz,19.87,83.32
36,afr_khm,11.93,73.05
37,afr_kir,15.26,80.79
38,afr_kor,19.4,82.51
39,afr_lao,20.44,77.09
40,afr_lav,24.01,83.83
41,afr_lit,22.27,84.06
42,afr_mal,20.34,79.45
43,afr_mkd,24.04,81.68
44,afr_msa,25.45,81.03
45,afr_mya,11.92,79.33
46,afr_nld,23.17,80.3
47,afr_nob,23.58,82.31
48,afr_npi,19.25,73.69
49,afr_pan,21.48,76.15
50,afr_pol,21.07,83.26
51,afr_por,31.24,80.36
52,afr_ron,28.68,82.36
53,afr_rus,26.05,83.05
54,afr_slk,24.83,83.36
55,afr_slv,23.79,82.98
56,afr_spa,21.67,77.58
57,afr_srp,25.04,82.21
58,afr_swe,31.84,82.48
59,afr_swh,22.48,76.75
60,afr_tam,22.54,82.73
61,afr_tel,23.82,79.32
62,afr_tgl,23.61,78.3
63,afr_tha,30.27,81.78
64,afr_tur,24.11,81.34
65,afr_ukr,25.93,83.72
66,afr_urd,18.83,75.28
67,afr_uzb,19.58,84.08
68,afr_vie,28.47,82.89
69,afr_yue,22.62,82.35
70,amh_afr,5.05,56.96
71,amh_ara,5.74,57.34
72,amh_asm,3.31,56.68
73,amh_azj,2.88,53.86
74,amh_bel,4.58,62.15
75,amh_ben,6.14,55.22
76,amh_bos,3.44,59.18
77,amh_bul,5.67,59.85
78,amh_cat,6.08,56.66
79,amh_ces,3.81,60.22
80,amh_cmn,6.48,56.44
81,amh_cym,5.8,57.61
82,amh_dan,4.64,58.36
83,amh_deu,4.51,53.19
84,amh_ell,6.53,60.01
85,amh_eng,5.29,58.2
86,amh_est,3.93,60.05
87,amh_fas,5.44,54.46
88,amh_fin,4.21,60.7
89,amh_fra,6.17,52.73
90,amh_glg,4.91,57.08
91,amh_guj,5.6,58.14
92,amh_heb,5.94,58.15
93,amh_hin,5.33,45.21
94,amh_hrv,3.67,59.18
95,amh_hun,4.71,55.43
96,amh_hye,6.14,58.99
97,amh_ind,4.69,58.2
98,amh_isl,3.49,57.23
99,amh_ita,5.29,56.9
100,amh_jav,3.19,62.57
101,amh_jpn,5.71,59.53
102,amh_kan,6.14,54.12
103,amh_kat,5.96,55.77
104,amh_kaz,4.43,58.86
105,amh_khm,3.76,54.16
106,amh_kir,4.04,58.1
107,amh_kor,5.07,57.28
108,amh_lao,4.81,55.62
109,amh_lav,3.94,60.65
110,amh_lit,4.06,61.28
111,amh_mal,6.32,56.28
112,amh_mkd,4.84,58.85
113,amh_msa,4.31,57.29
114,amh_mya,3.91,59.95
115,amh_nld,4.72,56.01
116,amh_nob,3.61,58.42
117,amh_npi,4.92,46.96
118,amh_pan,5.8,54.47
